Transaction_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Segment,Product_Category,Product_Name,Quantity,Unit_Price,Currency,Discount,Shipping_Fee,Payment_Method,Order_Status,Customer_Rating,Acquisition_Channel,Device_Type,Is_Repeat_Customer,Last_Purchase_Date,Days_Since_Last_Purchase,Satisfaction_Level,Loyalty_Points,Customer_Email,Customer_Phone,Notes
TXN-00001,1/14/25,CUST0544,kelvin adebayo,Other,36,United States,Houston,retail,Fashion,Backpack,6,106935,NGN,2500,2500,Bank Transfer,COMPLETE,1,TikTok,Desktop,no,11/5/24,24,Happy,350,kelvin.adebayo@yahoo.com,0803-327-6065,Bought during promo
TXN-00002,2025-09-02,cust-0602,David  Etisi,FEMALE,44,United States,Houston,Rtl,Fashion,Wrist Watch,2,72,CAD,5,2500,Wallet,,,Walk-in,,Yes,06/09/2024,106,Happy,500,david.etisi@yahoo.com,8034909069,Requested refund
TXN-00003,25/11/2024,cust-0284,moses eze,male,60,Nigeria,,,Home,Blender,3,36728,NGN,10,15,card,Completed,5,Instagram,,Yes,,,,200,moses.eze@,08038441741,Late payment
TXN-00004,"Jul 29, 2025",cust-0068,CHINEDU OKAFOR,male,38,Canada,Calgary,Corp,Home Goods,Cookware Set,2,228,EUR,10,1500,Bank Transfer,Returned,3,Facebook,Tablet,No,2025-04-30,44,Happy,120,,,High-value cart
TXN-00005,1/20/25,CUST-0687,Chioma  Bello,Other,45,Nigeria,Port Harcourt,sme,Grocery,Rice Bag,3,118,USD,1000,1500,Bank Transfer,,5,Instagram,,yes,"Nov 12, 2024",93,Neutral,200,chioma.bello@gmail.com,,VIP buyer
TXN-00006,5/24/25,CUST0465,grace ahmed,Other,54,Germany,Berlin,RETAIL,Electronics,Wireless Mouse,5,114652,NGN,1000,1500,Transfer,Completed,4,,mobile,Yes,,,Unhappy,20,grace.ahmedmail.com,08036504979,Fast delivery
TXN-00007,"Dec 23, 2024",cust-0180,Chioma  Okafor,male,60,United States,Houston,,Electronics,Laptop Stand,2,422,EUR,5,2500,Transfer,COMPLETE,4,TikTok,Mobile,,3/21/24,174,Neutral,20,chioma.okafor@gmail.com,,VIP buyer
TXN-00008,2025-08-17,cust-0661,tunde johnson,Male,56,United Kingdom,Birmingham,,Beauty,Face Wash,8,586,USD,2500,1000,,Returned,5,Instagram,Mobile,no,,,Unhappy,10,tunde.johnson@gmail.com,0803-950-7186,Bought during promo
TXN-00009,2025-09-01,cust-0461,MOSES BELLO,male,21,Canada,Toronto,sme,electronics,Webcam,3,188998,NGN,20,1000,card,COMPLETE,5,Instagram,Tablet,Yes,"Jan 30, 2025",337,Neutral,800,moses.bellomail.com,0803-620-4824,Requested refund
TXN-00010,30/06/2025,CUST 0318,S. Balogun,Other,65,Germany,Berlin,Corporate,Electronics,USB Cable,5,59649,NGN,500,1000,Cash,,5,Instagram,,no,04/07/2024,23,,50,,0803-578-0297,VIP buyer
